code insee,ville,code postal,latitude,longitude,pays
2384,HOURY,2140,49.8210899574, 3.91454720458,FR
2418,LERZY,2260,49.966610567, 3.91127792949,FR
2373,HARY,2140,49.8210899574, 3.91454720458,FR
2577,OSTEL,2370,49.4107346804, 3.51937274632,FR
2566,OGNES,2300,49.5817295222, 3.19169688143,FR
2569,OISY,2450,50.0067534754, 3.69457044766,FR
2567,OHIS,2500,49.890758884, 4.10750632589,FR
2661,ROYAUCOURT ET CHAILVET,2000,49.5539294526, 3.59337928423,FR
2633,QUINCY SOUS LE MONT,2220,49.3180108636, 3.5439628093,FR
2653,ROMENY SUR MARNE,2310,48.9875725146, 3.27825135374,FR
2637,REMAUCOURT,2100,49.8685441759, 3.30178111999,FR
2641,RENNEVAL,2340,49.6857429854, 4.02291889368,FR
2644,RETHEUIL,2600,49.2730511855, 3.12339772854,FR
2624,PROISY,2120,49.8880905983, 3.64129929098,FR
2638,REMIES,2270,49.714634271, 3.5968851996,FR
2625,PROIX,2120,49.8880905983, 3.64129929098,FR
2737,TAVAUX ET PONTSERICOURT,2250,49.738528886, 3.80415822108,FR
2713,SERINGES ET NESLES,2130,49.1935797302, 3.55982855371,FR
2726,SOMMETTE EAUCOURT,2480,49.7350949563, 3.17025333523,FR
2718,SILLY LA POTERIE,2460,49.1801295296, 3.14646603898,FR
2732,SURFONTAINE,2240,49.7790821794, 3.44336123783,FR
2735,TANNIERES,2220,49.3180108636, 3.5439628093,FR
2738,TERGNIER,2700,49.6402663387, 3.29629531322,FR
2716,SERVAIS,2700,49.6402663387, 3.29629531322,FR
2729,SOUCY,2600,49.2730511855, 3.12339772854,FR
1004,AMBERIEU EN BUGEY,1500,45.9756078125, 5.34313562094,FR
2819,VINCY REUIL ET MAGNY,2340,49.6857429854, 4.02291889368,FR
2834,WISSIGNICOURT,2320,49.5132435119, 3.44966195866,FR
3022,BELLENAVES,3330,46.21070511, 3.02004688789,FR
3035,LE BOUCHAUD,3130,46.3489734556, 3.83441218096,FR
3005,ARCHIGNAT,3380,46.359524355, 2.44784253368,FR
2823,VOHARIES,2140,49.8210899574, 3.91454720458,FR
3015,BAGNEUX,3460,46.6591659055, 3.26064885085,FR
2824,VORGES,2860,49.4877552055, 3.68304619282,FR
3037,BRAIZE,3360,46.6639251389, 2.70661035992,FR
4162,REVEST DES BROUSSES,4150,44.0485937813, 5.61131710182,FR
4155,PRADS HAUTE BLEONE,4420,44.1915370123, 6.39634951994,FR
4170,LA ROCHETTE,6260,43.9759308664, 6.94521623557,FR
